id,arrival_time,arrival_stop,destination_stop,bus_departure,departure_time,flag,path,waiting_time,bus_id,reached,,p
1,40095,A,B,40396,41566,0,AB,301,1,1,,20.46227056
2,45727,A,C,47088,48896,0,ABC,1361,1,1,,42.94730199
3,34319,A,D,36946,40276,0,ABCD,2627,2,1,,44.09937888
4,48474,B,P,51984,54684,0,ABQP,3510,3,1,,56.52173913
5,31596,B,Q,33784,35584,0,ABQ,2188,3,1,,54.86459378
6,51844,B,R,52848,54198,0,ABR,1004,4,1,,42.65080714
7,48478,B,S,52848,54668,0,ABRS,4370,4,1,,70.59773829
8,61186,B,A,62644,63814,0,BA,1458,2,1,,55.47945205
9,8169,B,C,11208,11838,0,BC,3039,2,1,,82.82910875
10,47606,B,D,48266,50434,0,BCD,660,1,1,,23.33804809
11,27252,B,P,29152,31860,0,BQP,1900,4,1,,41.23263889
12,53818,B,Q,56544,58344,0,BQ,2726,4,1,,60.22978347
13,57739,B,R,62020,63370,0,BR,4281,4,1,,76.02557272
14,17574,B,S,20956,22768,0,BRS,3382,3,1,,65.11359261
15,48042,C,A,48558,50366,0,CBA,516,2,1,,22.20309811
16,12809,C,B,14918,15548,0,CB,2109,2,1,,76.99890471
17,51437,C,D,52190,53720,0,CD,753,2,1,,32.98291721
18,22416,B,P,24628,27344,0,CBQP,2212,3,1,,44.88636364
19,46086,B,Q,47376,49176,0,CBQ,1290,4,1,,41.74757282
20,39374,B,R,43704,45054,0,CBR,4330,4,1,,76.23239437
21,62976,B,S,66508,68316,0,CBRS,3532,3,1,,66.1423221
22,26940,D,A,30306,33656,0,DCBA,3366,1,1,,50.11911852
23,13612,D,B,16846,19006,0,DCB,3234,1,1,,59.95550612
24,54440,D,C,57206,58736,0,DC,2766,1,1,,64.38547486
25,25858,B,P,29152,31864,0,DCBQP,3294,4,1,,54.84515485
26,5530,B,Q,6320,8120,0,DCBQ,790,3,1,,30.5019305
27,8888,B,R,11800,13150,0,DCBR,2912,3,1,,68.32473017
28,25862,B,S,30104,31912,0,DCBRS,4242,3,1,,70.11570248
29,30244,B,A,32486,33660,0,PQBA,2242,1,1,,65.6323185
30,63785,P,B,68432,71132,0,PQB,4647,4,1,,63.25030625
31,53080,B,C,55014,55644,0,PQBC,1934,1,1,,75.42901716
32,34796,B,D,34870,37042,0,PQBCD,74,1,1,,3.294746215
33,35695,P,Q,36536,37436,0,PQ,841,3,1,,48.30557151
34,15950,P,R,18224,22306,0,PQBR,2274,3,1,,35.77721838
35,21244,P,S,22720,27284,0,PQBRS,1476,4,1,,24.43708609
36,39428,B,A,42456,43626,0,QBA,3028,2,1,,72.12958552
37,48112,Q,B,51016,52816,0,QB,2904,4,1,,61.73469388
38,7248,B,C,7902,8532,0,QBC,654,1,1,,50.93457944
39,16364,B,D,17948,20120,0,QBCD,1584,2,1,,42.17252396
40,23098,Q,P,26444,27348,0,QP,3346,3,1,,78.72941176
41,41605,Q,R,41876,45058,0,QBR,271,4,1,,7.8482479
42,8405,Q,S,9968,13624,0,QBRS,1563,3,1,,29.94826595
43,20064,B,A,22324,23494,0,RBA,2260,2,1,,65.88921283
44,22426,R,B,23254,24604,0,RB,828,3,1,,38.01652893
45,52216,B,C,55014,55648,0,RBC,2798,1,1,,81.52680653
46,15536,B,D,17948,20124,0,RBCD,2412,2,1,,52.57192677
47,43953,R,P,46010,50092,0,RBQP,2057,4,1,,33.50708584
48,53166,R,Q,55166,58348,0,RBQ,2000,4,1,,38.59513701
49,22880,R,S,26834,27288,0,RS,3954,4,1,,89.70054446
50,56804,B,A,59398,60568,0,SRBA,2594,1,1,,68.91604676
51,50343,S,B,54704,56516,0,SRB,4361,4,1,,70.64636319
52,66004,B,C,68506,69136,0,SRBC,2502,1,1,,79.88505747
53,52220,B,D,55014,57190,0,SRBCD,2794,1,1,,56.21730382
54,35760,S,P,36428,40956,0,SRBQP,668,4,1,,12.85604311
55,30620,S,Q,31944,35588,0,SRBQ,1324,3,1,,26.65056361
56,35481,S,R,36428,36878,0,SR,947,4,1,,67.78811739
57,56278,A,B,57082,58252,0,AB,804,2,1,,40.72948328
58,51308,A,C,53816,55652,0,ABC,2508,1,1,,57.73480663
59,17450,A,D,20196,23558,0,ABCD,2746,1,1,,44.95743287
60,34978,B,P,38252,40960,0,ABQP,3274,4,1,,54.73085924
61,4516,B,Q,6320,8124,0,ABQ,1804,3,1,,50
62,7894,B,R,11800,13154,0,ABR,3906,3,1,,74.25855513
63,68774,B,S,71140,72940,0,ABRS,2366,4,1,,56.79308689
64,41704,B,A,42456,43630,0,BA,752,2,1,,39.04465213
65,10712,B,C,11208,11842,0,BC,496,2,1,,43.89380531
66,19773,B,D,21386,23562,0,BCD,1613,1,1,,42.5705991
67,9146,B,P,10868,13584,0,BQP,1722,4,1,,38.80126183
68,5626,B,Q,6320,8128,0,BQ,694,3,1,,27.73780975
69,60755,B,R,62020,63374,0,BR,1265,4,1,,48.3008782
70,43966,B,S,48348,50156,0,BRS,4382,3,1,,70.79159935
71,27162,C,A,28402,30206,0,CBA,1240,2,1,,40.73587385
72,6144,C,B,8214,8844,0,CB,2070,2,1,,76.66666667
73,26929,C,D,28744,30274,0,CD,1815,1,1,,54.26008969
74,8892,B,P,10868,13588,0,CBQP,1976,4,1,,42.07836457
75,46090,B,Q,47376,49180,0,CBQ,1286,4,1,,41.61812298
76,49460,B,R,52848,54202,0,CBR,3388,4,1,,71.44664698
77,8896,B,S,11800,13628,0,CBRS,2904,3,1,,61.36939983
