pid,arrival_stop,destination_stop,arrival_time,departure_time,flag,pod_departure,from_stop,path,waiting_time,,,p
1,A,B,40095,42246,1,41068,,AB,973,,,45.23477452
2,A,C,45727,47535,1,45727,,ABC,0,,,0
3,A,D,34319,37657,1,34319,,ABCD,0,,,0
4,B,P,48474,53702,1,49824,,ABQP,1350,,,25.82249426
5,B,Q,31596,35744,1,32766,,ABQ,1170,,,28.20636451
6,B,R,51844,55542,1,53014,,ABR,1170,,,31.63872363
7,B,S,48478,52806,1,49828,,ABRS,1350,,,31.1922366
8,B,A,61186,63376,1,62198,,BA,1012,,,46.21004566
9,B,C,8169,8807,1,8169,,BC,0,,,0
10,B,D,47606,50776,1,48608,,BCD,1002,,,31.60883281
11,B,P,27252,31131,1,28423,,BQP,1171,,,30.18819283
12,B,Q,53818,56754,1,54946,,BQ,1128,,,38.41961853
13,B,R,57739,60447,1,59089,,BR,1350,,,49.85228951
14,B,S,17574,19382,1,17574,,BRS,0,,,0
15,C,A,48042,50240,1,48432,,CBA,390,,,17.74340309
16,C,B,12809,13447,1,12809,,CB,0,,,0
17,C,D,51437,54319,1,52781,,CD,1344,,,46.63428175
18,B,P,22416,26656,1,23316,,CBQP,900,,,21.22641509
19,B,Q,46086,49874,1,47436,,CBQ,1350,,,35.63885956
20,B,R,39374,41992,1,40004,,CBR,630,,,24.06417112
21,B,S,62976,66024,1,63586,,CBRS,610,,,20.01312336
22,D,A,26940,30278,1,26940,,DCBA,0,,,0
23,D,B,13612,15780,1,13612,,DCB,0,,,0
24,D,C,54440,55978,1,54440,,DC,0,,,0
25,B,P,25858,31771,1,26903,,DCBQP,1045,,,17.67292407
26,B,Q,5530,9498,1,5530,,DCBQ,0,,,0
27,B,R,8888,12406,1,8888,,DCBR,0,,,0
28,B,S,25862,31000,1,27032,,DCBRS,1170,,,22.77150642
29,B,A,30244,35292,1,31414,,PQBA,1170,,,23.17749604
30,P,B,63785,66493,1,63785,,PQB,0,,,0
31,B,C,53080,57768,1,54430,,PQBC,1350,,,28.79692833
32,B,D,34796,40834,1,35966,,PQBCD,1170,,,19.37727724
33,P,Q,35695,36603,1,35695,,PQ,0,,,0
34,P,R,15950,20008,1,15950,,PQBR,0,,,0
35,P,S,21244,25752,1,21244,,PQBRS,0,,,0
36,B,A,39428,43756,1,40778,,QBA,1350,,,31.1922366
37,Q,B,48112,49920,1,48112,,QB,0,,,0
38,B,C,7248,9686,1,7248,,QBC,0,,,0
39,B,D,16364,20962,1,16994,,QBCD,630,,,13.7016094
40,Q,P,23098,24006,1,23098,,QP,0,,,0
41,Q,R,41605,44763,1,41605,,QBR,0,,,0
42,Q,S,8405,12013,1,8405,,QBRS,0,,,0
43,B,A,20064,23222,1,20694,,RBA,630,,,19.94933502
44,R,B,22426,23784,1,22426,,RB,0,,,0
45,B,C,52216,55048,1,53060,,RBC,844,,,29.80225989
46,B,D,15536,19298,1,15780,,RBCD,244,,,6.485911749
47,R,P,43953,48011,1,43953,,RBQP,0,,,0
48,R,Q,53166,56774,1,53616,,RBQ,450,,,12.47228381
49,R,S,22880,23338,1,22880,,RS,0,,,0
50,B,A,56804,60434,1,57456,,SRBA,652,,,17.96143251
51,S,B,50343,52151,1,50343,,SRB,0,,,0
52,B,C,66004,68931,1,66493,,SRBC,489,,,16.70652545
53,B,D,52220,57064,1,53096,,SRBCD,876,,,18.08422791
54,S,P,35760,40268,1,35760,,SRBQP,0,,,0
55,S,Q,30620,34228,1,30620,,SRBQ,0,,,0
56,S,R,35481,35939,1,35481,,SR,0,,,0
57,A,B,56278,57456,1,56278,,AB,0,,,0
58,A,C,51308,53116,1,51308,,ABC,0,,,0
59,A,D,17450,20788,1,17450,,ABCD,0,,,0
60,B,P,34978,40026,1,36148,,ABQP,1170,,,23.17749604
61,B,Q,4516,7494,1,4516,,ABQ,0,,,0
62,B,R,7894,10422,1,7894,,ABR,0,,,0
63,B,S,68774,72382,1,69404,,ABRS,630,,,17.46119734
64,B,A,41704,43424,1,42246,,BA,542,,,31.51162791
65,B,C,10712,11350,1,10712,,BC,0,,,0
66,B,D,19773,22571,1,20403,,BCD,630,,,22.51608292
67,B,P,9146,11854,1,9146,,BQP,0,,,0
68,B,Q,5626,7434,1,5626,,BQ,0,,,0
69,B,R,60755,63552,1,62194,,BR,1439,,,51.44797998
70,B,S,43966,47124,1,45316,,BRS,1350,,,42.74857505
71,C,A,27162,30500,1,28692,,CBA,1530,,,45.83582984
72,C,B,6144,6782,1,6144,,CB,0,,,0
73,C,D,26929,29995,1,28457,,CD,1528,,,49.83692107
74,B,P,8892,12230,1,8892,,CBQP,0,,,0
75,B,Q,46090,49878,1,47440,,CBQ,1350,,,35.63885956
76,B,R,49460,51908,1,49920,,CBR,460,,,18.79084967
77,B,S,8896,11334,1,8896,,CBRS,0,,,0
78,D,A,51317,54655,1,51317,,DCBA,0,,,0
79,D,B,9748,11916,1,9748,,DCB,0,,,0
80,D,C,26919,28457,1,26919,,DC,0,,,0
81,B,P,22420,28278,1,23410,,DCBQP,990,,,16.89996586
82,B,Q,62980,67644,1,63676,,DCBQ,696,,,14.92281304
83,B,R,32590,36744,1,33226,,DCBR,636,,,15.31054405
84,B,S,29228,34366,1,30398,,DCBRS,1170,,,22.77150642
85,B,A,16368,20876,1,16998,,PQBA,630,,,13.97515528
86,P,B,7986,10694,1,7986,,PQB,0,,,0
87,B,C,7252,10590,1,7252,,PQBC,0,,,0
88,B,D,57668,63274,1,58406,,PQBCD,738,,,13.16446664
89,P,Q,14231,15139,1,14231,,PQ,0,,,0
90,P,R,56161,60219,1,56161,,PQBR,0,,,0
91,P,S,54316,58824,1,54316,,PQBRS,0,,,0
92,B,A,7256,10234,1,7256,,QBA,0,,,0
93,Q,B,61868,63676,1,61868,,QB,0,,,0
94,B,C,11812,14354,1,11916,,QBC,104,,,4.091266719
95,B,D,11816,16414,1,12446,,QBCD,630,,,13.7016094
96,Q,P,12905,13813,1,12905,,QP,0,,,0
97,Q,R,6425,9583,1,6425,,QBR,0,,,0
98,Q,S,25331,28939,1,25331,,QBRS,0,,,0
99,B,A,56808,60506,1,57978,,RBA,1170,,,31.63872363
100,R,B,54044,55402,1,54044,,RB,0,,,0
101,B,C,66008,68586,1,66598,,RBC,590,,,22.88595811
102,B,D,24744,28262,1,24744,,RBCD,0,,,0
103,R,P,11637,15695,1,11637,,RBQP,0,,,0
104,R,Q,23278,26436,1,23278,,RBQ,0,,,0
105,R,S,23678,24136,1,23678,,RS,0,,,0
106,B,A,52224,56552,1,53574,,SRBA,1350,,,31.1922366
107,S,B,16101,17909,1,16101,,SRB,0,,,0
108,B,C,6320,8758,1,6320,,SRBC,0,,,0
109,B,D,29292,34430,1,30462,,SRBCD,1170,,,22.77150642
110,S,P,54231,58739,1,54231,,SRBQP,0,,,0
111,S,Q,7989,11597,1,7989,,SRBQ,0,,,0
112,S,R,46478,46936,1,46478,,SR,0,,,0
113,A,B,52706,54946,1,53768,,AB,1062,,,47.41071429
114,A,C,56622,58430,1,56622,,ABC,0,,,0
115,A,D,14508,17846,1,14508,,ABCD,0,,,0
116,B,P,65380,69554,1,65676,,ABQP,296,,,7.091518927
117,B,Q,4520,7498,1,4520,,ABQ,0,,,0
118,B,R,14698,17856,1,15328,,ABR,630,,,19.94933502
119,B,S,51848,55996,1,53018,,ABRS,1170,,,28.20636451
120,B,A,44015,46543,1,45365,,BA,1350,,,53.40189873
121,B,C,6025,6663,1,6025,,BC,0,,,0
122,B,D,47649,51167,1,48999,,BCD,1350,,,38.37407618
123,B,P,1050,3758,1,1050,,BQP,0,,,0
124,B,Q,9803,11611,1,9803,,BQ,0,,,0
125,B,R,52713,55421,1,54063,,BR,1350,,,49.85228951
126,B,S,40712,43870,1,42062,,BRS,1350,,,42.74857505
127,C,A,3549,5357,1,3549,,CBA,0,,,0
128,C,B,4394,5032,1,4394,,CB,0,,,0
129,C,D,49999,53067,1,51529,,CD,1530,,,49.8696219
130,B,P,29232,33740,1,30402,,CBQP,1170,,,25.9538598
131,B,Q,42692,46480,1,44042,,CBQ,1350,,,35.63885956
132,B,R,12322,14940,1,12952,,CBR,630,,,24.06417112
133,B,S,5534,7972,1,5534,,CBRS,0,,,0
134,D,A,7550,10888,1,7550,,DCBA,0,,,0
135,D,B,23729,25897,1,23729,,DCB,0,,,0
136,D,C,45121,46659,1,45121,,DC,0,,,0
137,B,P,62984,69022,1,64154,,DCBQP,1170,,,19.37727724
138,B,Q,15628,20226,1,16258,,DCBQ,630,,,13.7016094
139,B,R,52846,57714,1,54196,,DCBR,1350,,,27.73212818
140,B,S,8900,12868,1,8900,,DCBRS,0,,,0
141,B,A,48540,53768,1,49890,,PQBA,1350,,,25.82249426
142,P,B,57073,59781,1,57073,,PQB,0,,,0
143,B,C,7260,10598,1,7260,,PQBC,0,,,0
144,B,D,16372,21870,1,17002,,PQBCD,630,,,11.45871226
145,P,Q,23252,24160,1,23252,,PQ,0,,,0
146,P,R,55883,59941,1,55883,,PQBR,0,,,0
147,P,S,41392,45900,1,41392,,PQBRS,0,,,0
148,B,A,57672,62038,1,59060,,QBA,1388,,,31.79111315
149,Q,B,23418,25226,1,23418,,QB,0,,,0
150,B,C,66836,70444,1,68006,,QBC,1170,,,32.42793792
151,B,D,43920,48570,1,44602,,QBCD,682,,,14.66666667
152,Q,P,15020,15928,1,15020,,QP,0,,,0
153,Q,R,8414,11572,1,8414,,QBR,0,,,0
154,Q,S,57114,60722,1,57114,,QBRS,0,,,0
155,B,A,38460,41548,1,39020,,RBA,560,,,18.13471503
156,R,B,37662,39020,1,37662,,RB,0,,,0
